case_id,species,age_years,breed,is_neutered,weight_kg,is_vaccinated,lethargy_level,appetite_status,drinking_status,is_vomiting,is_diarrhea,has_blood_in_stool,is_straining_to_urinate,urinating_more_frequently,has_blood_in_urine,is_coughing,is_sneezing,has_nasal_discharge,is_itching_scratching,has_hair_loss,is_lame_limping,diagnosis
1036,Dog,18,Mixed Breed,Yes,25,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1037,Cat,6,Domestic Shorthair,No,7,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1038,Dog,2,Shih Tzu,No,34,No,Severe,None,Normal,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1039,Dog,9,Shih Tzu,Yes,27,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1040,Dog,14,French Bulldog,Yes,44,Yes,Normal,Normal,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1041,Dog,2,Rottweiler,No,22,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1042,Dog,7,Boxer,Yes,26,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1043,Cat,9,Maine Coon,Yes,4,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1044,Cat,3,Siamese,Yes,6,No,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1045,Dog,8,Boxer,Yes,32,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1046,Dog,11,Beagle,No,27,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1047,Cat,4,Sphynx,Yes,5,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1048,Dog,7,Shih Tzu,No,14,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1049,Dog,5,Mixed Breed,No,10,Yes,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1050,Dog,7,Poodle,Yes,42,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1051,Dog,1,Labrador Retriever,Yes,24,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1052,Cat,12,British Shorthair,Yes,4,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1053,Cat,10,Persian,Yes,3,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Hairball
1054,Cat,15,Domestic Shorthair,Yes,6,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1055,Cat,11,Ragdoll,Yes,4,Yes,Mild,Decreased,Normal,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1056,Dog,1,Shih Tzu,Yes,36,No,Severe,None,Normal,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1057,Cat,1,Domestic Longhair,No,6,No,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1058,Dog,2,French Bulldog,No,41,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1059,Dog,12,Beagle,No,8,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Hip Dysplasia
1060,Cat,14,Maine Coon,No,7,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1061,Dog,6,German Shepherd,Yes,17,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1062,Dog,12,French Bulldog,Yes,17,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Arthritis
1063,Cat,10,Persian,Yes,4,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1064,Dog,1,Golden Retriever,Yes,27,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1065,Dog,1,Shih Tzu,Yes,18,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Ear Infection
1066,Dog,1,French Bulldog,Yes,23,No,Severe,None,Normal,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1067,Cat,2,Domestic Longhair,Yes,5,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Skin Allergies
1068,Cat,9,Siamese,Yes,4,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1069,Dog,9,Labrador Retriever,Yes,6,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1070,Dog,1,Shih Tzu,Yes,10,No,Normal,Normal,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1071,Dog,1,Labrador Retriever,Yes,44,Yes,Severe,None,Normal,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Parvovirus
1072,Dog,2,Boxer,Yes,36,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1073,Dog,13,Mixed Breed,No,34,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1074,Dog,3,French Bulldog,Yes,34,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1075,Dog,7,Boxer,Yes,21,Yes,Normal,Normal,Normal,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1076,Dog,2,Beagle,Yes,14,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Ear Infection
1077,Dog,9,Rottweiler,No,43,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1078,Cat,3,British Shorthair,No,3,No,Normal,Normal,Normal,No,No,No,No,Yes,Yes,No,No,No,No,No,No,FLUTD
1079,Cat,9,Maine Coon,No,7,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1080,Cat,10,Persian,No,6,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1081,Dog,10,Golden Retriever,No,5,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Hip Dysplasia
1082,Dog,15,Rottweiler,No,22,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1083,Cat,1,Maine Coon,Yes,5,No,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1084,Cat,5,Domestic Shorthair,Yes,6,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1085,Cat,12,Domestic Longhair,No,6,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1086,Dog,1,French Bulldog,No,24,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1087,Cat,3,Domestic Shorthair,Yes,3,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Hairball
1088,Cat,3,Domestic Longhair,No,6,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,No,Yes,No,No,No,Upper Respiratory Infection
1089,Cat,10,Domestic Longhair,Yes,7,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1090,Cat,10,Ragdoll,No,6,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1091,Dog,9,Beagle,Yes,36,Yes,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1092,Dog,1,German Shepherd,Yes,22,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1093,Dog,6,French Bulldog,Yes,39,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1094,Cat,8,Sphynx,No,3,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1095,Dog,8,Boxer,No,35,No,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1096,Dog,6,Beagle,No,15,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1097,Dog,17,German Shepherd,No,41,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1098,Dog,1,French Bulldog,Yes,14,No,Severe,None,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Parvovirus
1099,Cat,9,Bengal,No,4,Yes,Mild,Decreased,Increased,No,No,No,No,Yes,No,No,No,No,Yes,No,No,CKD
1100,Cat,13,Bengal,No,4,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1101,Dog,1,Shih Tzu,Yes,36,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Parvovirus
1102,Cat,6,Domestic Shorthair,Yes,7,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1103,Cat,13,Bengal,No,5,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1104,Cat,3,Ragdoll,Yes,5,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,No,No,No,No,No,No,No,FLUTD
1105,Cat,3,British Shorthair,Yes,4,Yes,Normal,Normal,Normal,No,No,No,No,Yes,Yes,No,No,No,No,No,No,FLUTD
1106,Cat,18,Maine Coon,Yes,3,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1107,Dog,1,Shih Tzu,Yes,16,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1108,Dog,8,Golden Retriever,Yes,19,No,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1109,Dog,15,Shih Tzu,No,7,Yes,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1110,Dog,10,Rottweiler,No,42,No,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Kennel Cough
1111,Dog,7,Beagle,No,11,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1112,Cat,5,Sphynx,Yes,7,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1113,Dog,1,Shih Tzu,Yes,9,No,Severe,None,Normal,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1114,Dog,12,Boxer,Yes,16,Yes,Normal,Normal,Normal,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1115,Dog,1,Rottweiler,No,8,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1116,Cat,15,Domestic Longhair,No,3,Yes,Mild,Decreased,Normal,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1117,Cat,4,British Shorthair,Yes,3,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1118,Cat,20,British Shorthair,Yes,3,No,Mild,Decreased,Increased,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1119,Dog,1,Rottweiler,No,10,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1120,Cat,8,British Shorthair,No,4,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1121,Cat,9,Domestic Longhair,Yes,3,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1122,Cat,14,Sphynx,Yes,3,Yes,Mild,Decreased,Increased,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1123,Cat,6,Maine Coon,No,5,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,Yes,No,Skin Allergies
1124,Dog,7,Beagle,No,40,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1125,Dog,8,German Shepherd,Yes,9,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1126,Cat,5,British Shorthair,Yes,4,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,FLUTD
1127,Cat,6,Domestic Shorthair,No,3,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,FLUTD
1128,Cat,14,British Shorthair,Yes,3,Yes,Mild,Decreased,Increased,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1129,Dog,11,Shih Tzu,Yes,6,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1130,Cat,4,Siamese,Yes,3,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,No,Yes,No,No,No,Upper Respiratory Infection
1131,Dog,2,Golden Retriever,Yes,43,No,Severe,None,Normal,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Parvovirus
1132,Dog,2,Beagle,Yes,17,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1133,Dog,16,Mixed Breed,No,13,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1134,Cat,19,Maine Coon,Yes,5,Yes,Mild,Decreased,Increased,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1135,Dog,11,Labrador Retriever,No,13,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1136,Dog,15,Shih Tzu,Yes,9,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1137,Cat,12,Ragdoll,No,7,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,No,Yes,No,No,No,Upper Respiratory Infection
1138,Dog,2,Rottweiler,Yes,24,No,Severe,None,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Parvovirus
1139,Dog,8,Mixed Breed,No,5,Yes,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1140,Cat,5,British Shorthair,Yes,6,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1141,Cat,10,Domestic Longhair,Yes,5,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1142,Dog,16,Rottweiler,No,9,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1143,Dog,11,Shih Tzu,No,11,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1144,Dog,6,Boxer,No,37,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1145,Cat,10,Domestic Shorthair,Yes,4,No,Normal,Normal,Normal,No,No,No,No,Yes,Yes,No,No,No,No,No,No,FLUTD
1146,Cat,9,Domestic Longhair,No,3,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Upper Respiratory Infection
1147,Dog,10,Beagle,No,22,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1148,Dog,8,Boxer,Yes,11,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1149,Dog,4,Shih Tzu,No,17,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1150,Cat,6,Bengal,Yes,3,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1151,Dog,11,Mixed Breed,Yes,8,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1152,Dog,5,Mixed Breed,No,12,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Kennel Cough
1153,Dog,1,Labrador Retriever,No,24,No,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1154,Dog,18,Shih Tzu,No,41,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1155,Dog,14,Rottweiler,No,37,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1156,Cat,4,Domestic Longhair,Yes,6,Yes,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1157,Cat,1,Domestic Shorthair,Yes,3,No,Normal,Normal,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1158,Dog,7,French Bulldog,Yes,40,No,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1159,Dog,15,Boxer,No,18,Yes,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1160,Cat,15,Ragdoll,Yes,6,Yes,Mild,Decreased,Increased,No,No,No,No,Yes,No,No,No,No,No,No,No,CKD
1161,Dog,3,Mixed Breed,Yes,43,No,Normal,Normal,Normal,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1162,Dog,13,Labrador Retriever,No,28,Yes,Mild,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Arthritis
1163,Dog,9,Golden Retriever,No,10,No,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1164,Dog,13,Rottweiler,Yes,34,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1165,Cat,17,Sphynx,Yes,5,Yes,Mild,Decreased,Increased,No,No,No,Yes,Yes,No,No,No,No,No,No,No,CKD
1166,Dog,13,Beagle,Yes,7,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1167,Dog,3,Shih Tzu,No,14,No,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Gastritis
1168,Cat,6,Sphynx,No,7,No,Normal,Decreased,Normal,Yes,No,No,No,No,No,No,No,No,No,No,No,Hairball
1169,Cat,5,Sphynx,Yes,6,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1170,Dog,2,French Bulldog,No,5,No,Severe,None,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Parvovirus
1171,Dog,14,Mixed Breed,Yes,40,Yes,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1172,Dog,4,Mixed Breed,Yes,40,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1173,Dog,13,Beagle,Yes,11,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1174,Dog,8,Labrador Retriever,Yes,32,Yes,Normal,Normal,Normal,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1175,Dog,2,Poodle,No,39,Yes,Normal,Normal,Normal,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Dietary Indiscretion
1176,Dog,13,Golden Retriever,No,12,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1177,Dog,8,German Shepherd,Yes,7,Yes,Mild,Normal,Normal,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
1178,Dog,3,Boxer,No,15,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1179,Dog,7,Mixed Breed,Yes,43,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1180,Dog,1,Mixed Breed,No,24,No,Severe,None,Normal,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Parvovirus
1181,Cat,10,Siamese,Yes,3,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Skin Allergies
1182,Cat,1,British Shorthair,Yes,7,No,Normal,Normal,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1183,Dog,11,German Shepherd,Yes,9,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1184,Dog,8,Rottweiler,Yes,35,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1185,Dog,6,Boxer,Yes,27,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,Yes,Hip Dysplasia
1186,Cat,1,Ragdoll,No,5,Yes,Normal,Decreased,Normal,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Upper Respiratory Infection
1187,Dog,11,Mixed Breed,No,27,Yes,Normal,Normal,Normal,No,Yes,No,No,No,No,No,No,No,No,No,No,Dietary Indiscretion
1188,Cat,8,Bengal,Yes,7,Yes,Normal,Normal,Normal,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,FLUTD
1189,Cat,16,Siamese,No,3,Yes,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,No,No,No,Healthy
1190,Dog,1,Boxer,Yes,27,No,Normal,Normal,Normal,No,No,No,No,No,No,No,No,No,Yes,No,No,Ear Infection
1191,Dog,1,Mixed Breed,Yes,12,Yes,Mild,Normal,Normal,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Kennel Cough
